Temperature high,Temperature avg,Temperature low,Dew Point high,Dew Point avg,Dew Point low,Humidity high,Humidity avg,Humidity low,Sea Level Pressure high,Sea Level Pressure avg,Sea Level Pressure low,Visibility high,Visibility avg,Visibility low,Wind high,Wind avg,Precipitation
34,29,25,25,24,23,94,79,49,1013,1010,1007,14,9,5,16,5,2.03
34,30,25,26,24,22,94,75,42,1013,1009,1005,10,9,6,14,3,0
32,28,25,26,25,23,94,80,60,1011,1008,1006,10,9,6,19,6,0.51
34,29,24,26,24,23,94,85,53,1012,1009,1006,14,8,1,14,5,3.05
33,29,24,26,24,23,94,84,50,1013,1011,1008,18,10,5,14,3,16
33,29,24,25,24,23,94,82,51,1013,1011,1009,11,9,3,16,6,14.99
29,26,23,25,24,22,94,87,71,1014,1011,1009,14,10,3,14,6,5.08
33,29,24,25,23,22,94,75,49,1013,1010,1007,16,10,8,23,10,0
36,30,24,27,24,21,94,76,36,1012,1009,1006,18,10,8,23,8,0
34,30,25,26,24,23,94,76,45,1012,1009,1006,13,10,6,13,6,3.05
30,27,24,26,24,23,100,82,61,1013,1010,1007,14,9,2,19,6,19.05
34,30,25,26,24,22,94,79,43,1013,1010,1006,14,9,5,19,5,2.03
34,30,26,26,24,22,94,82,40,1013,1010,1007,18,10,8,14,5,6.1
34,29,24,26,24,23,94,76,44,1013,1010,1007,14,10,6,16,6,45.97
33,28,24,26,24,23,100,83,55,1014,1011,1008,14,9,1,35,6,45.97
33,28,24,25,24,23,100,83,55,1014,1011,1008,14,10,8,14,5,11.94
32,28,24,25,24,23,94,84,51,1014,1012,1009,18,10,6,11,6,0
33,29,25,26,24,24,94,83,52,1014,1011,1009,11,9,6,13,3,0
32,28,24,26,24,23,94,88,60,1014,1011,1007,14,8,2,14,6,39.88
31,28,24,26,24,23,100,86,61,1013,1011,1008,14,9,3,13,6,0.25
32,28,24,25,24,23,94,81,57,1014,1011,1008,18,10,4,19,6,2.03
33,29,25,25,24,22,94,78,43,1013,1010,1007,14,10,6,19,6,0
33,29,25,25,24,23,94,77,47,1012,1009,1006,14,10,8,19,6,0
32,29,26,26,24,23,94,80,50,1011,1008,1005,14,10,5,19,5,0
34,30,26,26,25,22,94,83,43,1011,1008,1005,18,10,2,13,5,0
33,29,26,26,24,23,94,83,53,1011,1009,1006,14,10,8,14,5,0
34,29,25,26,24,24,94,83,49,1011,1008,1006,10,9,3,16,5,0.51
32,28,25,25,24,23,100,80,53,1011,1008,1005,14,10,8,11,5,0.25
32,29,25,26,24,23,94,82,60,1010,1008,1005,10,9,2,14,5,14.99
34,29,25,26,24,23,94,80,46,1011,1008,1006,14,9,3,11,5,8.89
34,29,25,26,24,22,94,77,55,1012,1010,1007,18,10,7,19,6,2.03
34,29,24,26,24,23,95,80,46,1012,1009,1006,11,9,3,21,5,3.05
33,29,25,27,24,23,94,83,49,1012,1009,1006,14,9,1,19,5,13.97
34,29,24,27,25,23,100,84,51,1011,1009,1006,14,9,0,21,5,45.97
34,29,24,26,24,23,94,75,45,1011,1009,1006,11,10,6,13,5,0
31,28,25,26,24,23,89,79,59,1014,1010,1007,14,10,6,16,8,33.02
33,28,24,26,24,23,95,80,51,1013,1010,1007,14,9,6,14,6,0.51
33,29,25,26,24,24,94,84,57,1013,1010,1007,14,9,2,16,6,11.94
32,29,25,25,24,23,94,79,50,1015,1010,1006,14,9,5,19,6,23.11
32,28,24,25,24,23,100,81,51,1014,1010,1007,14,9,0,14,5,0
34,29,24,26,25,22,94,78,43,1013,1010,1007,18,9,5,11,3,8.89
32,29,26,26,25,23,100,87,61,1013,1010,1007,11,8,1,13,5,0
32,29,25,27,25,23,94,86,54,1013,1010,1007,14,8,1,16,5,0
30,27,24,26,24,23,100,91,63,1013,1010,1008,11,9,0,23,5,24.89
32,28,24,26,24,23,100,82,49,1013,1010,1006,18,10,5,13,5,0
32,28,24,26,24,22,94,87,65,1013,1010,1008,14,9,3,13,5,7.87
34,29,23,26,24,23,100,82,43,1013,1010,1007,11,9,5,23,5,7.11
33,29,24,26,25,23,94,82,48,1012,1010,1007,11,9,3,14,6,6.1
33,28,24,25,24,23,95,81,53,1013,1010,1008,14,9,3,13,5,1.02
33,28,24,27,25,23,94,85,55,1013,1011,1008,13,8,3,14,5,48.01
32,28,23,26,25,23,94,81,57,1013,1010,1007,11,8,3,11,5,3.05
33,28,22,26,24,22,100,84,49,1013,1010,1008,11,8,1,16,5,27.94
31,28,24,25,24,23,94,80,60,1014,1011,1008,14,9,2,13,6,8.89
33,29,24,26,24,22,94,82,57,1014,1011,1009,11,9,6,19,5,2.03
32,28,24,26,24,23,94,82,58,1014,1011,1007,14,9,5,14,5,0.51
30,27,24,26,24,23,94,82,66,1013,1010,1006,14,10,5,14,5,0
32,28,25,26,25,24,94,82,59,1011,1009,1006,11,9,5,14,5,0
30,28,25,26,25,23,94,87,63,1012,1009,1007,11,9,5,13,5,7.87
33,29,24,26,24,23,100,83,50,1012,1009,1006,18,9,1,16,5,0.25
34,29,24,25,24,22,94,76,39,1011,1009,1005,14,10,6,11,5,0
32,29,25,26,25,24,94,81,57,1011,1008,1005,10,9,6,11,5,0
33,29,26,27,25,23,94,79,51,1010,1007,1005,11,9,6,19,6,0
33,29,24,25,24,22,94,78,50,1010,1008,1005,18,10,8,21,6,0
33,29,26,26,24,22,89,75,52,1010,1007,1005,14,10,10,21,6,0
34,30,26,26,25,22,89,74,43,1010,1007,1005,14,10,10,24,10,0
29,26,23,26,24,22,100,80,47,1012,1009,1007,18,9,1,32,10,0.25
34,29,24,26,24,22,94,75,40,1011,1009,1006,18,10,10,16,8,0
33,28,24,25,24,22,94,77,50,1011,1008,1005,14,10,3,23,6,0
33,29,24,26,25,23,89,78,54,1010,1007,1004,11,10,8,16,5,0.25
31,28,26,26,25,24,92,81,66,1011,1008,1005,10,9,3,19,5,8.89
33,29,25,25,25,24,89,78,55,1011,1008,1005,14,10,2,19,5,7.11
31,28,26,26,24,23,94,81,63,1011,1008,1006,14,10,6,16,5,0
34,30,26,26,25,23,89,79,52,1010,1008,1005,11,9,7,21,6,3.05
33,28,24,25,24,22,100,81,54,1010,1008,1006,14,9,4,16,8,0
33,29,26,26,24,22,89,77,49,1010,1008,1005,18,10,5,16,5,22.1
28,27,26,27,25,23,94,81,49,1009,1007,1005,14,10,6,16,6,0
33,29,26,27,26,24,93,79,54,1010,1007,1005,10,10,6,19,8,30.99
32,28,24,26,24,23,95,83,70,1010,1008,1006,10,9,6,14,6,33.02
30,27,24,26,24,21,94,87,64,1012,1010,1008,14,9,3,19,5,0
31,28,26,25,24,22,94,75,46,1011,1009,1006,18,10,7,13,6,0
31,28,24,25,24,23,100,81,54,1013,1010,1007,11,9,3,16,5,0.25
34,29,24,26,24,22,89,73,41,1012,1010,1007,14,10,10,14,6,5.08
32,27,23,26,24,22,94,82,54,1012,1009,1007,18,10,2,19,6,0
34,29,24,26,24,21,89,75,39,1011,1009,1006,14,10,6,19,5,0
34,30,26,26,24,21,94,73,37,1012,1009,1007,14,10,7,14,6,0
32,29,26,26,24,23,89,77,56,1012,1009,1007,11,10,6,11,5,0
33,29,26,25,25,23,89,78,46,1011,1008,1006,14,9,6,16,3,0
34,29,25,26,25,23,94,77,49,1011,1008,1005,14,9,4,16,6,0
30,28,26,26,24,22,94,80,55,1013,1010,1008,11,10,4,23,8,3.05
33,29,25,25,24,22,94,75,45,1013,1010,1007,14,10,1,11,6,0
33,29,26,26,25,23,89,81,52,1012,1010,1007,10,10,6,16,6,0
31,28,26,26,25,23,94,81,52,1012,1010,1007,14,9,6,21,6,0
33,29,25,25,23,21,100,76,41,1014,1011,1008,14,9,4,16,6,0
34,29,25,26,23,22,89,77,42,1012,1010,1008,11,10,8,16,6,0.25
34,29,24,25,24,22,94,77,43,1012,1009,1007,10,9,2,21,6,70.1
31,28,24,26,24,23,94,87,64,1011,1009,1007,10,8,3,19,6,3.05
32,28,24,25,23,22,94,81,51,1012,1009,1007,11,9,6,19,8,0
34,29,24,26,24,21,89,75,35,1011,1009,1006,14,9,6,13,5,0
33,28,23,25,23,22,94,76,55,1012,1009,1007,18,10,6,14,5,0
33,28,23,26,24,23,89,80,57,1012,1009,1007,10,9,4,16,5,0.51
32,29,25,26,24,22,94,79,50,1012,1009,1007,14,9,5,13,5,0
31,28,24,25,24,21,94,83,46,1012,1009,1007,18,9,4,13,5,0
34,29,24,25,24,21,94,77,38,1010,1008,1005,14,9,4,13,5,0
34,29,24,26,24,22,94,79,43,1011,1008,1006,19,9,4,16,5,0
32,28,23,26,24,22,100,85,55,1013,1010,1007,19,9,4,16,6,38.1
29,26,22,25,24,22,94,83,53,1012,1010,1007,14,10,6,11,5,0.25
35,30,24,26,24,21,94,78,39,1012,1009,1007,18,10,6,14,5,0
32,28,25,25,24,23,94,83,56,1013,1010,1007,11,9,6,14,3,0
33,29,26,25,24,22,94,76,46,1011,1009,1006,19,10,6,13,6,0
32,29,25,26,24,22,89,77,52,1011,1008,1007,14,10,8,21,6,0
33,29,24,26,24,21,94,78,46,1010,1009,1006,14,10,5,24,5,0
32,28,24,26,24,22,100,82,53,1012,1010,1007,18,9,3,14,6,0
32,29,25,25,23,21,94,74,47,1013,1010,1006,11,9,7,19,6,2.03
33,29,24,25,23,22,89,75,49,1013,1011,1008,14,10,9,23,6,0
32,29,25,25,24,21,89,76,44,1013,1010,1007,18,10,10,19,8,0
31,28,25,25,24,22,94,79,55,1013,1010,1008,14,10,6,13,6,40.89
33,28,23,24,23,21,94,74,43,1013,1010,1007,14,10,8,16,6,0
32,28,24,26,24,23,100,81,52,1013,1011,1008,14,9,3,13,5,0
32,29,25,25,24,23,94,80,59,1013,1010,1008,10,9,5,26,5,4.06
28,26,24,25,24,23,94,81,58,1013,1010,1007,14,9,3,16,5,0.51
32,28,25,24,23,21,94,79,44,1013,1011,1009,18,10,8,14,6,0
33,28,23,25,23,21,94,75,47,1014,1010,1007,14,10,6,26,8,20.07
33,28,22,24,23,21,94,77,41,1014,1011,1008,19,10,7,13,6,0
31,26,22,24,22,21,100,78,55,1012,1010,1008,14,9,4,21,6,0
33,28,23,24,22,19,94,71,37,1011,1009,1006,18,10,9,16,5,0
33,29,25,25,23,21,89,72,40,1011,1009,1006,14,10,8,16,8,0
31,28,25,25,23,22,89,74,42,1012,1010,1008,14,10,9,19,6,0
32,29,25,25,24,23,89,77,54,1013,1010,1007,10,9,8,19,8,0
32,27,23,25,23,21,94,78,43,1012,1009,1007,14,9,3,16,5,0
33,29,25,25,23,22,89,74,46,1012,1010,1007,18,10,8,16,6,0
34,30,26,25,23,22,89,71,41,1012,1010,1007,14,10,8,19,10,0
33,29,24,25,24,19,89,75,42,1012,1010,1007,11,9,5,14,5,0
33,29,25,25,24,23,89,77,57,1011,1009,1006,14,9,6,19,6,0.25
32,27,23,26,24,22,94,81,53,1010,1008,1006,10,8,0,16,3,0
31,28,25,25,23,19,89,75,34,1010,1008,1006,14,9,3,21,6,0
34,30,26,26,24,22,94,76,42,1011,1009,1006,14,9,4,19,6,0
33,29,26,25,23,21,89,75,43,1012,1010,1009,14,10,9,16,8,0
33,29,26,25,23,22,89,72,44,1012,1010,1007,18,10,7,14,6,0
33,29,25,26,24,22,89,77,50,1011,1009,1006,14,10,5,14,3,2.03
34,29,24,25,24,21,100,78,40,1012,1009,1007,18,9,3,19,8,0
33,29,24,25,24,22,94,76,47,1013,1010,1008,11,10,6,13,6,0
31,28,24,25,24,22,94,82,52,1013,1010,1008,14,10,6,19,6,0
29,27,24,25,23,22,94,81,66,1012,1009,1006,11,9,6,19,5,6.1
32,28,25,25,23,22,94,76,51,1011,1008,1006,11,9,1,19,8,0
33,29,25,24,23,21,89,73,46,1010,1008,1006,18,10,9,16,6,0
33,28,23,25,23,22,100,78,45,1011,1009,1006,19,10,1,23,8,0
34,29,25,25,24,22,89,74,42,1011,1009,1007,14,10,9,16,8,0
27,26,24,24,23,23,94,87,71,1013,1011,1009,14,9,1,16,3,21.08
32,28,24,24,23,22,94,78,52,1014,1011,1009,11,10,5,16,6,35.05
32,28,24,25,24,23,94,79,59,1012,1010,1007,10,9,3,14,3,1.02
28,26,23,25,23,22,94,83,62,1013,1011,1008,14,9,4,11,5,28.96
31,27,23,25,23,22,94,77,51,1014,1011,1008,14,9,5,19,6,0
32,28,24,24,23,22,94,79,55,1013,1011,1008,14,10,9,16,6,0
31,28,25,25,23,22,94,78,58,1014,1011,1008,11,9,0,14,5,18.03
30,27,23,24,23,22,100,89,63,1014,1011,1008,14,9,1,13,5,4.06
33,28,23,25,23,21,100,80,42,1011,1009,1006,18,10,4,14,3,0
32,28,24,24,24,23,94,80,54,1011,1008,1005,10,9,7,11,5,1.02
32,28,24,25,24,23,94,81,54,1011,1009,1007,11,9,5,19,6,57.91
34,29,23,25,24,22,91,77,48,1012,1009,1006,14,10,6,16,6,5.08
33,29,24,25,23,22,94,73,44,1011,1009,1005,14,10,6,14,6,0
33,29,25,25,23,22,89,75,50,1010,1008,1006,14,10,7,19,6,0
34,30,26,24,23,22,94,75,40,1010,1008,1006,18,10,6,13,5,0
33,29,26,24,23,21,89,73,41,1010,1008,1006,14,10,10,16,10,0
32,28,23,25,23,22,94,75,49,1011,1009,1006,14,10,3,21,8,0
32,29,26,25,24,22,89,74,47,1011,1008,1005,14,10,6,16,6,0
30,26,22,25,23,20,94,81,51,1010,1008,1005,11,9,3,19,8,4.06
32,27,22,24,23,21,100,81,48,1011,1008,1005,14,9,3,24,8,0
33,28,24,25,23,21,94,75,46,1011,1008,1006,14,10,4,21,6,0
33,28,24,25,23,22,94,80,47,1012,1009,1006,14,9,6,13,6,5.08
32,28,24,25,24,22,94,78,54,1012,1010,1007,11,9,6,13,6,0
33,29,25,26,24,23,94,78,47,1012,1009,1006,14,9,4,16,3,0
32,29,25,25,24,23,94,81,53,1013,1010,1007,14,10,6,19,6,17.02
34,29,24,26,24,23,94,80,50,1012,1009,1005,10,9,6,21,5,7.11
29,26,23,25,24,22,100,86,62,1013,1010,1008,14,8,0,19,6,0.25
31,27,23,25,24,23,100,82,54,1013,1010,1007,14,9,3,13,5,0
32,28,24,26,24,23,94,83,54,1012,1010,1007,10,8,4,13,5,28.96
33,28,24,26,24,22,94,79,49,1012,1009,1006,11,9,3,19,6,2.03
33,29,24,26,24,23,94,81,51,1011,1009,1006,14,9,3,19,6,1.02
33,29,25,26,24,22,94,82,51,1011,1009,1006,14,10,5,19,6,21.08
33,29,24,26,24,22,94,83,49,1012,1009,1007,14,9,6,13,8,13.97
32,28,24,25,24,22,100,80,49,1012,1009,1007,18,10,2,16,6,0.76
33,28,24,26,24,22,94,80,44,1013,1010,1008,14,10,5,19,6,0.51
33,28,23,25,23,21,89,73,40,1013,1010,1007,14,10,8,11,3,0
32,28,24,26,24,23,89,82,59,1013,1010,1007,14,8,3,16,3,0.76
32,28,25,26,25,22,94,84,55,1011,1009,1006,11,8,4,13,5,1.02
31,27,24,25,24,22,100,84,55,1012,1009,1006,11,9,2,14,6,3.05
33,28,23,25,23,22,100,80,45,1012,1010,1007,18,10,5,14,6,0
34,29,24,26,24,22,89,76,46,1014,1011,1008,14,10,2,19,6,14.99
31,28,24,26,24,23,100,86,59,1014,1012,1009,11,9,0,26,8,39.12
32,28,23,27,24,23,100,88,54,1014,1011,1008,18,7,1,19,5,20.07
32,28,23,25,23,21,100,84,55,1013,1010,1007,14,10,8,23,5,3.05
31,28,24,25,23,22,95,81,49,1012,1009,1007,18,10,4,13,3,0
33,29,24,25,24,21,94,75,42,1012,1009,1007,18,9,6,16,3,0
31,28,24,25,24,22,94,83,66,1013,1010,1008,10,9,5,13,5,0
33,29,24,25,23,19,94,74,35,1012,1009,1007,11,10,3,16,5,0
33,29,25,26,24,22,89,76,55,1012,1008,1005,14,10,6,19,5,1.02
32,28,24,25,24,22,94,77,50,1012,1009,1007,14,9,8,19,5,0.25
33,29,25,25,24,22,94,75,49,1014,1010,1007,11,9,4,16,6,0
34,29,25,26,24,23,89,80,46,1012,1010,1007,18,10,7,16,5,2.03
29,27,25,25,24,23,94,85,70,1013,1010,1008,14,9,4,16,5,13.97
33,29,25,25,24,22,94,79,46,1014,1011,1008,18,10,5,14,6,7.11
31,28,24,26,24,23,100,81,54,1013,1010,1007,14,9,3,21,5,7.11
30,27,23,25,23,22,100,83,53,1013,1009,1006,11,10,8,13,6,0
33,29,24,25,24,22,94,74,41,1011,1009,1006,26,10,7,14,6,0
29,27,24,25,24,23,100,87,59,1013,1010,1008,18,9,1,14,5,6.1
33,28,23,25,23,21,94,79,41,1012,1009,1006,18,9,0,14,6,32
33,29,24,26,24,23,94,80,49,1011,1008,1005,14,9,2,16,3,2.03
32,28,24,25,24,23,94,82,61,1012,1009,1006,11,7,2,19,6,2.03
32,28,24,26,24,23,94,80,54,1010,1007,1004,14,10,7,16,5,0
32,28,24,26,24,23,100,79,52,1010,1006,1003,14,9,6,16,6,1.02
32,28,24,26,24,23,94,83,59,1009,1006,1004,11,9,5,13,5,4.06
33,29,24,26,25,23,94,81,46,1010,1007,1004,19,10,5,14,5,0
32,28,25,26,24,23,94,85,59,1011,1008,1005,18,9,4,14,5,5.08
27,24,23,25,23,22,100,92,81,1012,1009,1007,11,8,1,16,5,7.87
33,28,23,26,24,22,94,78,43,1010,1008,1005,14,10,6,13,6,0
34,29,24,27,25,23,94,77,46,1011,1008,1006,19,10,8,14,3,0
33,29,25,26,24,21,94,76,44,1012,1009,1006,10,9,5,14,3,0
31,28,24,25,22,18,89,65,38,1012,1008,1005,18,10,8,13,5,0
35,30,24,26,23,21,84,71,34,1011,1009,1007,14,10,6,16,3,0
35,30,25,26,24,21,94,74,36,1013,1010,1007,11,8,3,14,6,0
34,30,26,26,25,24,94,75,48,1014,1011,1008,14,9,5,16,5,0
34,31,27,25,24,22,89,70,40,1013,1011,1008,14,9,5,21,6,0
34,30,26,26,24,21,89,68,39,1013,1010,1007,14,10,10,19,10,0
35,31,27,26,24,22,84,70,39,1013,1010,1007,11,10,8,19,10,0
32,29,26,26,25,23,100,83,58,1014,1011,1009,11,9,5,13,5,0
33,29,25,26,24,22,94,83,48,1014,1011,1009,14,9,4,14,3,2.03
32,29,26,26,25,23,100,85,61,1013,1011,1008,14,9,7,14,5,0.25
29,27,24,25,24,22,94,89,72,1013,1010,1007,11,8,2,21,3,7.11
33,29,24,25,24,22,94,78,46,1012,1009,1006,11,10,6,16,6,0
31,28,24,26,24,23,94,81,60,1012,1009,1007,18,9,4,14,6,0
32,28,24,25,24,23,94,85,55,1012,1009,1006,14,9,7,21,5,66.04
32,27,23,25,24,22,94,82,47,1012,1009,1006,14,10,7,11,5,0.51
32,28,24,25,24,23,100,83,49,1011,1008,1006,11,8,2,13,5,0
32,28,25,25,24,23,94,81,61,1010,1007,1003,14,9,5,14,5,1.02
28,27,25,25,24,23,100,88,73,1009,1007,1004,10,8,2,10,3,1.02
30,27,24,25,24,23,94,85,60,1010,1007,1004,11,9,4,11,5,6.1
28,27,24,26,24,23,100,87,65,1009,1007,1004,14,9,4,13,5,4.06
32,28,24,25,24,23,100,82,51,1010,1007,1005,14,9,4,11,3,0
32,27,22,25,24,22,100,82,49,1010,1008,1005,18,9,0,19,6,40.89
28,26,23,26,24,23,100,87,70,1011,1008,1006,10,9,3,13,5,0.51
32,28,24,26,24,22,100,85,51,1011,1008,1005,14,8,1,26,6,9.91
32,28,24,26,24,23,100,87,59,1011,1008,1005,14,9,5,19,6,4.06
32,28,24,25,24,23,94,81,52,1012,1009,1006,18,10,7,14,6,2.03
32,28,24,26,24,22,94,82,51,1011,1008,1005,11,9,5,16,5,0
33,29,24,25,24,22,94,76,45,1010,1007,1004,14,10,8,16,6,0
29,26,23,26,24,21,100,90,67,1012,1009,1006,14,9,3,14,5,0.25
33,28,24,26,24,23,94,86,49,1011,1009,1006,14,9,5,16,5,3.05
34,29,24,27,24,23,94,83,45,1011,1008,1005,14,9,2,19,5,16
32,28,24,26,24,24,94,86,67,1012,1008,1005,11,9,3,16,5,7.11
33,29,24,27,24,23,94,84,63,1010,1008,1005,14,9,6,11,5,8.89
32,28,24,26,24,23,94,81,55,1011,1008,1005,14,9,3,14,6,0
34,29,24,26,24,22,94,78,41,1011,1008,1005,14,9,5,16,6,0
33,29,25,25,24,23,94,82,54,1010,1008,1005,14,10,6,16,5,13.97
33,28,24,27,24,23,94,85,54,1010,1007,1003,14,8,3,16,3,13.97
31,28,24,26,24,23,100,91,59,1010,1007,1005,11,7,0,16,6,21.08
32,28,24,26,24,23,100,88,60,1011,1008,1006,14,9,2,14,5,12.95
32,28,24,25,24,23,100,86,60,1011,1009,1006,14,9,1,16,5,14.99
30,27,24,26,24,23,100,90,70,1011,1009,1006,10,7,3,16,3,5.08
30,27,24,26,25,24,100,90,65,1010,1007,1004,10,8,3,11,2,43.94
30,27,24,25,24,23,100,89,67,1009,1007,1005,14,8,3,23,6,8.89
29,27,24,25,24,23,100,90,74,1010,1007,1005,14,9,5,23,6,7.11
30,27,23,25,24,23,100,85,70,1009,1007,1004,14,10,6,21,11,0.51
33,28,23,25,24,23,94,79,54,1009,1006,1004,11,10,6,19,5,0
34,29,24,26,24,23,89,76,52,1009,1007,1004,14,10,10,21,8,0
33,29,25,26,25,24,100,81,56,1010,1007,1004,14,9,3,13,6,6.1
33,29,25,26,26,24,100,83,57,1009,1007,1004,14,10,2,13,5,0
34,29,25,26,25,22,94,77,45,1010,1007,1005,11,10,6,14,5,0
34,30,26,26,24,23,94,73,49,1010,1008,1006,14,10,6,16,5,0
34,29,24,26,24,23,94,78,53,1012,1009,1006,14,10,6,21,6,8.89
29,27,24,25,24,23,94,80,62,1012,1010,1007,14,10,9,14,6,0
32,29,25,26,24,23,94,79,57,1013,1010,1008,11,10,6,16,5,18.03
